UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
2	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
3	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
2	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
1	0
0	0
0	0
0	0
2	1
4	0
0	0
7	0
3	0
0	0
0	0
0	0
3	2
0	1
0	0
0	0
2	0
1	0
0	0
0	1
0	1
0	0
0	0
0	0
0	1
0	0
0	4
0	0
1	0
0	0
0	0
0	0
0	0
1	0
0	0
4	1
0	0
0	0
0	1
0	0
0	0
1	0
2	0
0	0
2	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
7	2
0	2
0	0
0	4
0	0
0	0
2	0
2	1
0	0
0	1
0	1
0	1
0	0
0	1
0	1
0	0
0	0
0	2
5	1
16	0
0	0
0	4
0	4
1	0
4	0
3	0
5	0
1	0
1	0
2	0
9	0
12	0
0	0
0	0
0	0
0	0
0	0
0	0
10	0
0	0
0	0
2	0
0	0
1	0
0	0
0	0
0	0
1	0
0	0
1	0
0	0
0	0
0	0
0	1
0	0
0	0
2	0
0	0
0	0
4	1
3	0
1	0
0	0
1	0
0	1
2	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
4	0
1	0
37	1
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	4
1	1
7	4
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
5	0
0	0
0	0
0	0
0	48
0	48
23	48
0	9
0	0
0	0
0	0
0	0
0	0
84	1392
0	1388
5	77
23	3
0	55
6	28
0	75
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
280	757
88	750
0	0
0	2
2	2
0	2
14	41
14	41
0	0
0	0
0	6356
4757	6359
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
90	201
0	14
1	174
0	125
0	27
0	109
0	0
0	0
0	0
1046	736
0	728
0	5
0	4
0	5
5	5
95	15
0	5
0	0
4	0
0	7
0	1
0	0
0	1
0	0
0	1
0	0
0	0
30	276
6	40
0	10
0	278
0	0
0	0
0	0
0	0
0	0
25	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
10	12
43	241
0	241
0	0
19	299
0	299
0	0
0	0
0	0
0	0
