UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	1
1	0
0	0
0	0
1	6
0	0
0	0
0	0
1	0
1	0
1	1
0	1
0	0
0	0
1	0
2	0
1	0
0	0
1	0
0	0
0	0
0	1
0	1
1	1
0	0
1	4
3	0
0	0
0	0
5	0
0	1
0	0
0	0
0	0
0	1
3	0
0	5
0	5
3	1
1	1
0	0
1	1
4	0
0	1
0	1
0	0
6	0
0	0
0	2
0	0
2	3
4	0
0	1
0	0
0	0
2	0
0	0
1	0
0	0
0	0
0	5
0	0
2	0
3	1
1	0
0	0
0	0
0	1
0	1
5	2
0	0
0	0
5	0
0	0
0	0
2	0
2	1
0	1
4	0
0	0
0	0
0	0
1	3
0	3
0	1
0	0
0	2
0	1
0	1
0	0
0	0
0	1
0	6
0	0
0	0
0	0
0	8
0	1
1	0
0	0
0	0
0	0
0	0
6	0
1	0
0	0
3	0
6	0
10	0
2	0
1	0
0	0
0	0
6	0
6	0
17	0
5	0
3	0
12	0
6	0
9	0
0	0
0	0
0	0
0	0
0	0
0	0
11	0
0	0
0	0
2	0
0	0
7	0
0	0
0	0
0	0
2	0
1	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
1	3
1	0
0	0
0	1
6	0
1	3
1	0
0	0
0	1
1	1
0	1
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
7	0
3	0
24	0
12	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	6
0	1
6	6
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
7	3
0	0
0	0
0	0
0	52
0	52
20	51
0	12
0	0
0	0
0	0
0	0
0	0
90	1508
0	1507
6	109
33	5
1	70
7	38
0	105
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
401	1007
116	1000
0	3
0	2
0	2
0	0
17	37
8	37
0	0
0	0
0	5530
3897	5532
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
107	194
0	21
0	159
0	116
0	35
0	104
0	0
0	0
0	0
1090	762
0	751
1	14
0	13
0	13
14	3
102	18
0	3
0	0
6	0
0	13
1	1
0	0
1	0
0	0
0	1
0	0
0	0
18	388
21	64
0	21
0	393
0	0
0	0
0	0
0	0
0	0
27	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
15	5
45	312
0	312
0	0
16	275
0	275
0	0
0	0
0	0
0	0
